Location,Trait Stack,Input Type,GENCD Planted,Marker Strategy,Traits,Trait Number,Total Embryos,Total Flats,Total Rows,Total Pots,Samples,Hit Pick,Estimated Endpoint Datapoints,Estimated RT Datapoints,Output Type,GENCD Harvested,Handoff Generation,Self,Backcross,Stack,Seg Out,Handoff,Sample Destination,Sample Days After Planting,Transplant Days After Planting,Pot Days After Planting,Pollination Days After Planting,Replant Days After Planting,Traits in Seg,Traits in Stack
Arica,3M,embryo,B2,90-90-90,3272;MZHGOJG,2,0,6,7,0,117,90,16434,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,B3,90-90-90,3272;MZHGOJG,2,0,6,7,0,117,90,16434,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,F2,90-90-90,3272;MZHGOJG,2,0,13,3,0,280,0,0,1680,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CMS,seed,NS,22-48-48,CMS,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F1,22-48-48,CMS,1,0,2,3,0,8,0,8,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B1,22-48-48,CMS,1,0,3,3,0,32,22,3992,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B2,22-48-48,CMS,1,0,4,4,0,64,48,8704,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B3,22-48-48,CMS,1,0,4,4,0,64,48,8704,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F2,22-48-48,CMS,1,0,1,3,0,0,0,0,0,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CMS,seed,NS,90-90,CMS,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F1,90-90,CMS,1,0,2,3,0,8,0,8,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F2,90-90,CMS,1,0,1,3,0,0,0,0,0,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CMS,embryo,B1,90-90,CMS,1,0,6,7,0,120,90,16320,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B2,90-90,CMS,1,0,6,7,0,120,90,16320,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,seed,NS,90-90-90,CMS,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F1,90-90-90,CMS,1,0,2,3,0,8,0,8,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B1,90-90-90,CMS,1,0,6,7,0,120,90,16320,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B2,90-90-90,CMS,1,0,6,7,0,120,90,16320,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,B3,90-90-90,CMS,1,0,6,7,0,120,90,16320,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CMS,embryo,F2,90-90-90,CMS,1,0,1,3,0,0,0,0,0,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CZ,seed,NS,22-48-48,DAS;MIR604;TC1507,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F1,22-48-48,DAS;MIR604;TC1507,3,0,3,3,0,43,0,129,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B1,22-48-48,DAS;MIR604;TC1507,3,0,6,3,0,117,22,4311,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B2,22-48-48,DAS;MIR604;TC1507,3,0,10,4,0,206,48,9258,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B3,22-48-48,DAS;MIR604;TC1507,3,0,10,4,0,206,48,9258,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F2,22-48-48,DAS;MIR604;TC1507,3,0,46,3,0,1065,0,0,9585,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CZ,seed,NS,90-90,DAS;MIR604;TC1507,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F1,90-90,DAS;MIR604;TC1507,3,0,3,3,0,43,0,129,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F2,90-90,DAS;MIR604;TC1507,3,0,46,3,0,1065,0,0,9585,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,CZ,embryo,B1,90-90,DAS;MIR604;TC1507,3,0,16,7,0,356,90,17268,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B2,90-90,DAS;MIR604;TC1507,3,0,16,7,0,356,90,17268,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,seed,NS,90-90-90,DAS;MIR604;TC1507,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F1,90-90-90,DAS;MIR604;TC1507,3,0,3,3,0,43,0,129,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B1,90-90-90,DAS;MIR604;TC1507,3,0,16,7,0,356,90,17268,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B2,90-90-90,DAS;MIR604;TC1507,3,0,16,7,0,356,90,17268,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,B3,90-90-90,DAS;MIR604;TC1507,3,0,16,7,0,356,90,17268,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,CZ,embryo,F2,90-90-90,DAS;MIR604;TC1507,3,0,46,3,0,1065,0,0,9585,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DE,seed,NS,22-48-48,DAS;MON89034;MSRW,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F1,22-48-48,DAS;MON89034;MSRW,3,0,5,3,0,86,0,258,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B1,22-48-48,DAS;MON89034;MSRW,3,0,11,3,0,233,22,4659,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B2,22-48-48,DAS;MON89034;MSRW,3,0,19,4,0,412,48,9876,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B3,22-48-48,DAS;MON89034;MSRW,3,0,19,4,0,412,48,9876,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F2,22-48-48,DAS;MON89034;MSRW,3,0,65,5,0,1514,0,0,13626,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DE,seed,NS,90-90,DAS;MON89034;MSRW,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F1,90-90,DAS;MON89034;MSRW,3,0,5,3,0,86,0,258,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F2,90-90,DAS;MON89034;MSRW,3,0,65,5,0,1514,0,0,13626,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DE,embryo,B1,90-90,DAS;MON89034;MSRW,3,0,31,7,0,712,90,18336,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B2,90-90,DAS;MON89034;MSRW,3,0,31,7,0,712,90,18336,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,seed,NS,90-90-90,DAS;MON89034;MSRW,3,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F1,90-90-90,DAS;MON89034;MSRW,3,0,5,3,0,86,0,258,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B1,90-90-90,DAS;MON89034;MSRW,3,0,31,7,0,712,90,18336,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B2,90-90-90,DAS;MON89034;MSRW,3,0,31,7,0,712,90,18336,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,B3,90-90-90,DAS;MON89034;MSRW,3,0,31,7,0,712,90,18336,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DE,embryo,F2,90-90-90,DAS;MON89034;MSRW,3,0,65,5,0,1514,0,0,13626,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DF,seed,NS,22-48-48,MON89034;MZIR098,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F1,22-48-48,MON89034;MZIR098,2,0,3,3,0,27,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B1,22-48-48,MON89034;MZIR098,2,0,5,3,0,76,22,4112,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B2,22-48-48,MON89034;MZIR098,2,0,7,4,0,135,48,8910,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B3,22-48-48,MON89034;MZIR098,2,0,7,4,0,135,48,8910,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F2,22-48-48,MON89034;MZIR098,2,0,17,5,0,373,0,0,2238,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DF,seed,NS,90-90,MON89034;MZIR098,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F1,90-90,MON89034;MZIR098,2,0,3,3,0,27,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F2,90-90,MON89034;MZIR098,2,0,17,5,0,373,0,0,2238,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DF,embryo,B1,90-90,MON89034;MZIR098,2,0,11,7,0,234,90,16668,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B2,90-90,MON89034;MZIR098,2,0,11,7,0,234,90,16668,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,seed,NS,90-90-90,MON89034;MZIR098,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F1,90-90-90,MON89034;MZIR098,2,0,3,3,0,27,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B1,90-90-90,MON89034;MZIR098,2,0,11,7,0,234,90,16668,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B2,90-90-90,MON89034;MZIR098,2,0,11,7,0,234,90,16668,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,B3,90-90-90,MON89034;MZIR098,2,0,11,7,0,234,90,16668,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DF,embryo,F2,90-90-90,MON89034;MZIR098,2,0,17,5,0,373,0,0,2238,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DG,seed,NS,22-48-48,MON89034,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F1,22-48-48,MON89034,1,0,2,3,0,24,0,24,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B1,22-48-48,MON89034,1,0,4,3,0,70,22,4030,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B2,22-48-48,MON89034,1,0,7,4,0,128,48,8768,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B3,22-48-48,MON89034,1,0,7,4,0,128,48,8768,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F2,22-48-48,MON89034,1,0,5,3,0,88,0,0,264,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DG,seed,NS,90-90,MON89034,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F1,90-90,MON89034,1,0,2,3,0,24,0,24,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F2,90-90,MON89034,1,0,5,3,0,88,0,0,264,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,DG,embryo,B1,90-90,MON89034,1,0,11,7,0,225,90,16425,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B2,90-90,MON89034,1,0,11,7,0,225,90,16425,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,seed,NS,90-90-90,MON89034,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F1,90-90-90,MON89034,1,0,2,3,0,24,0,24,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B1,90-90-90,MON89034,1,0,11,7,0,225,90,16425,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B2,90-90-90,MON89034,1,0,11,7,0,225,90,16425,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,B3,90-90-90,MON89034,1,0,11,7,0,225,90,16425,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,DG,embryo,F2,90-90-90,MON89034,1,0,5,3,0,88,0,0,264,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PK,seed,NS,22-48-48,MSHT;Purple,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F1,22-48-48,MSHT;Purple,1,0,4,3,0,54,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B1,22-48-48,MSHT;Purple,1,0,8,3,0,151,22,4111,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B2,22-48-48,MSHT;Purple,1,0,13,4,0,269,48,8909,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B3,22-48-48,MSHT;Purple,1,0,13,4,0,269,48,8909,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F2,22-48-48,MSHT;Purple,1,0,17,3,0,373,0,0,1119,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PK,seed,NS,90-90,MSHT;Purple,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F1,90-90,MSHT;Purple,1,0,4,3,0,54,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F2,90-90,MSHT;Purple,1,0,17,3,0,373,0,0,1119,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PK,embryo,B1,90-90,MSHT;Purple,1,0,21,7,0,467,90,16667,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B2,90-90,MSHT;Purple,1,0,21,7,0,467,90,16667,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,seed,NS,90-90-90,MSHT;Purple,1,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F1,90-90-90,MSHT;Purple,1,0,4,3,0,54,0,54,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B1,90-90-90,MSHT;Purple,1,0,21,7,0,467,90,16667,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B2,90-90-90,MSHT;Purple,1,0,21,7,0,467,90,16667,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,B3,90-90-90,MSHT;Purple,1,0,21,7,0,467,90,16667,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PK,embryo,F2,90-90-90,MSHT;Purple,1,0,17,3,0,373,0,0,1119,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PL,seed,NS,22-48-48,GA21;T25,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,F1,22-48-48,GA21;T25,2,0,4,3,0,54,0,108,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,B1,22-48-48,GA21;T25,2,0,8,3,0,151,22,4262,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,B2,22-48-48,GA21;T25,2,0,13,4,0,269,48,9178,0,embryo,B3,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,B3,22-48-48,GA21;T25,2,0,13,4,0,269,48,9178,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,F2,22-48-48,GA21;T25,2,0,17,3,0,373,0,0,2238,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PL,seed,NS,90-90,GA21;T25,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,F1,90-90,GA21;T25,2,0,4,3,0,54,0,108,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,F2,90-90,GA21;T25,2,0,17,3,0,373,0,0,2238,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,PL,embryo,B1,90-90,GA21;T25,2,0,21,7,0,467,90,17134,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,B2,90-90,GA21;T25,2,0,21,7,0,467,90,17134,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,seed,NS,90-90-90,GA21;T25,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,PL,embryo,F1,90-90-90,GA21;T25,2,0,4,3,0,54,0,108,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
